99.775	0.096	0.130	99.540	0.131	0.329	99.287	0.403	0.310	99.717	0.147	0.136	99.584	0.241	0.175
99.775	0.095	0.131	99.537	0.131	0.332	99.289	0.403	0.308	99.715	0.147	0.138	99.584	0.242	0.174
99.768	0.093	0.139	99.507	0.131	0.363	99.286	0.403	0.311	99.713	0.146	0.141	99.587	0.241	0.172
99.759	0.093	0.149	99.471	0.130	0.399	99.280	0.402	0.318	99.707	0.146	0.148	99.588	0.241	0.171
99.748	0.093	0.160	99.424	0.130	0.445	99.262	0.404	0.334	99.696	0.146	0.159	99.587	0.240	0.174
99.733	0.093	0.174	99.367	0.131	0.501	99.239	0.412	0.349	99.686	0.146	0.169	99.585	0.239	0.176
99.706	0.093	0.201	99.317	0.132	0.551	99.225	0.417	0.358	99.672	0.146	0.182	99.583	0.238	0.179
99.681	0.094	0.226	99.273	0.135	0.592	99.209	0.426	0.365	99.649	0.146	0.205	99.579	0.238	0.183
99.630	0.097	0.273	99.220	0.137	0.643	99.178	0.434	0.388	99.613	0.147	0.240	99.561	0.244	0.195
99.532	0.100	0.369	99.108	0.142	0.750	99.098	0.440	0.463	99.568	0.148	0.284	99.549	0.240	0.211
99.424	0.107	0.469	98.973	0.159	0.867	98.972	0.447	0.582	99.497	0.151	0.352	99.513	0.246	0.241
99.338	0.119	0.542	98.872	0.187	0.941	98.842	0.457	0.701	99.444	0.158	0.398	99.511	0.237	0.252
99.274	0.130	0.596	98.761	0.221	1.018	98.710	0.473	0.817	99.391	0.168	0.441	99.463	0.252	0.286
99.186	0.144	0.670	98.639	0.256	1.105	98.603	0.485	0.912	99.315	0.177	0.508	99.438	0.253	0.309
eta factor for channels 1,2,3,4,5,6,7,8,9-14, and 15
0.01 0.08 0.03 0.04 0.04 0.03 0.03 0.04 0.04 0.11
